stop_id,name
0,立石港務所
1,泉
2,海光園
3,生名支所
4,生名港務所
5,稲浦
6,スポレク公園
7,恵生団地
8,丸山
9,保健センター
10,西浦住宅
11,西浦集会所
12,弓削港務所
13,弓削支所
14,江尻
15,三ッ小島
16,鎌田
17,阿土
18,大谷
19,上狩尾
20,下狩尾
21,久司浦
22,沢津
23,高浜神社
24,潮湯
25,上弓削港
26,おどり場
27,緑ヶ丘住宅
28,上弓削西
29,引野
30,弓削小学校
31,明神
32,太田
33,土生
34,弓削商船南門
35,フェスパ
36,日比
37,弓削大橋
38,佐島港務所
